getpwuid_r did not find a match for uid 501
Timestamp                       Thread     Type        Activity             PID    TTL  
2026-08-05 01:23:34.395492+0000 0x2526d    Default     0x0                  65017  0    OrcaSlicer: (libMobileGestalt.dylib) No persisted cache on this platform.
2026-08-05 01:23:34.396591+0000 0x25296    Default     0x0                  65017  0    OrcaSlicer: (libxpc.dylib) [com.apple.xpc:connection] [0x10a57edf0] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2026-08-05 01:23:34.400927+0000 0x25296    Default     0x0                  65017  0    OrcaSlicer: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new assertion because there is no existing background assertion.
2026-08-05 01:23:34.401030+0000 0x25296    Default     0x0                  65017  0    OrcaSlicer: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new background assertion
2026-08-05 01:23:34.401154+0000 0x25296    Default     0x0                  65017  0    OrcaSlicer: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created new background assertion <BKSProcessAssertion: 0x6000021100a0>
2026-08-05 01:23:34.401191+0000 0x25296    Default     0x0                  65017  0    OrcaSlicer: (RunningBoardServices) [com.apple.runningboard:connection] Initializing connection
2026-08-05 01:23:34.401243+0000 0x25296    Default     0x0                  65017  0    OrcaSlicer: (RunningBoardServices) [com.apple.runningboard:process] Removing all cached process handles
2026-08-05 01:23:34.401696+0000 0x25296    Default     0x0                  65017  0    OrcaSlicer: (RunningBoardServices) [com.apple.runningboard:connection] Creating connection to com.apple.runningboard
2026-08-05 01:23:34.401800+0000 0x25296    Default     0x0                  65017  0    OrcaSlicer: (libxpc.dylib) [com.apple.xpc:connection] [0x10a25c070] activating connection: mach=true listener=false peer=false name=com.apple.runningboard
2026-08-05 01:23:34.401987+0000 0x25298    Default     0x0                  65017  0    OrcaSlicer: (RunningBoardServices) [com.apple.runningboard:connection] Sending handshake request attempt #1 to server
2026-08-05 01:23:34.402745+0000 0x25299    Default     0x0                  65017  0    OrcaSlicer: (BoardServices) [com.apple.BoardServices:XPCErrors] [C:1] Alloc com.apple.frontboard.systemappservices
2026-08-05 01:23:34.403564+0000 0x25299    Default     0x0                  65017  0    OrcaSlicer: (libxpc.dylib) [com.apple.xpc:connection] [0x10a57f340] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-08-05 01:23:34.404844+0000 0x25298    Default     0x0                  65017  0    OrcaSlicer: (RunningBoardServices) [com.apple.runningboard:connection] Handshake succeeded
2026-08-05 01:23:34.405478+0000 0x2529b    Activity    0x34ed0              65017  0    OrcaSlicer: (RunningBoardServices) didChangeInheritances
2026-08-05 01:23:34.406495+0000 0x25297    Activity    0x34ed1              65017  0    OrcaSlicer: (CoreFoundation) Loading Preferences From User Session CFPrefsD
2026-08-05 01:23:34.416613+0000 0x25298    Default     0x0                  65017  0    OrcaSlicer: (RunningBoardServices) [com.apple.runningboard:connection] Identity resolved as app<org.orca-ios.orcaslicer((null))>
2026-08-05 01:23:34.417389+0000 0x2526d    Default     0x0                  65017  0    OrcaSlicer: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 10; deactivation reasons: 0 -> 1024; animating application lifecycle event: 0
2026-08-05 01:23:34.417560+0000 0x25296    Default     0x0                  65017  0    OrcaSlicer: (UIKitCore) [com.apple.UIKit:BackgroundTask] Incrementing reference count for background assertion <BKSProcessAssertion: 0x6000021100a0>
2026-08-05 01:23:34.417713+0000 0x2526d    Default     0x0                  65017  0    OrcaSlicer: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.open
2026-08-05 01:23:34.417774+0000 0x25296    Default     0x0                  65017  0    OrcaSlicer: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created background task <_UIBackgroundTaskInfo: 0x60000173a1c0>: taskID = 1, taskName = Launch Background Task for Coalescing, creationTime = 3736 (elapsed = 0).
